;;;;;;;;;;
ORDEN;NOMBRE REGIÓN;Código Región;NOMBRE PROVINCIA;Código Provincia;NOMBRE COMUNA;Código Comuna;Edad;Hombres;Mujeres;TOTAL
170;TARAPACÁ;1;DEL TAMARUGAL;14;POZO ALMONTE;1401;75 a 79;99;100;199
171;TARAPACÁ;1;DEL TAMARUGAL;14;POZO ALMONTE;1401;80 a 84;65;74;139
172;TARAPACÁ;1;DEL TAMARUGAL;14;POZO ALMONTE;1401;85 a 89;26;32;58
173;TARAPACÁ;1;DEL TAMARUGAL;14;POZO ALMONTE;1401;90 a 94;8;15;23
174;TARAPACÁ;1;DEL TAMARUGAL;14;POZO ALMONTE;1401;95 a 99;1;4;5
175;TARAPACÁ;1;DEL TAMARUGAL;14;POZO ALMONTE;1401;100 o más;1;1;2
176;TARAPACÁ;1;DEL TAMARUGAL;14;CAMIÑA;1402;Total Comunal;657;593;1.250
177;TARAPACÁ;1;DEL TAMARUGAL;14;CAMIÑA;1402;0 a 4;50;41;91
178;TARAPACÁ;1;DEL TAMARUGAL;14;CAMIÑA;1402;5 a 9;43;58;101
179;TARAPACÁ;1;DEL TAMARUGAL;14;CAMIÑA;1402;10 a 14;40;43;83
180;TARAPACÁ;1;DEL TAMARUGAL;14;CAMIÑA;1402;15 a 19;46;45;91
181;TARAPACÁ;1;DEL TAMARUGAL;14;CAMIÑA;1402;20 a 24;42;40;82
182;TARAPACÁ;1;DEL TAMARUGAL;14;CAMIÑA;1402;25 a 29;44;41;85
183;TARAPACÁ;1;DEL TAMARUGAL;14;CAMIÑA;1402;30 a 34;41;30;71
184;TARAPACÁ;1;DEL TAMARUGAL;14;CAMIÑA;1402;35 a 39;25;38;63
185;TARAPACÁ;1;DEL TAMARUGAL;14;CAMIÑA;1402;40 a 44;55;35;90
186;TARAPACÁ;1;DEL TAMARUGAL;14;CAMIÑA;1402;45 a 49;44;39;83
187;TARAPACÁ;1;DEL TAMARUGAL;14;CAMIÑA;1402;50 a 54;45;37;82
188;TARAPACÁ;1;DEL TAMARUGAL;14;CAMIÑA;1402;55 a 59;40;31;71
189;TARAPACÁ;1;DEL TAMARUGAL;14;CAMIÑA;1402;60 a 64;34;27;61
190;TARAPACÁ;1;DEL TAMARUGAL;14;CAMIÑA;1402;65 a 69;27;25;52
191;TARAPACÁ;1;DEL TAMARUGAL;14;CAMIÑA;1402;70 a 74;28;22;50
192;TARAPACÁ;1;DEL TAMARUGAL;14;CAMIÑA;1402;75 a 79;21;21;42
193;TARAPACÁ;1;DEL TAMARUGAL;14;CAMIÑA;1402;80 a 84;16;12;28
194;TARAPACÁ;1;DEL TAMARUGAL;14;CAMIÑA;1402;85 a 89;10;3;13
195;TARAPACÁ;1;DEL TAMARUGAL;14;CAMIÑA;1402;90 a 94;3;4;7
196;TARAPACÁ;1;DEL TAMARUGAL;14;CAMIÑA;1402;95 a 99;2;1;3
197;TARAPACÁ;1;DEL TAMARUGAL;14;CAMIÑA;1402;100 o más;1;0;1
198;TARAPACÁ;1;DEL TAMARUGAL;14;COLCHANE;1403;Total Comunal;995;733;1.728
199;TARAPACÁ;1;DEL TAMARUGAL;14;COLCHANE;1403;0 a 4;41;42;83
200;TARAPACÁ;1;DEL TAMARUGAL;14;COLCHANE;1403;5 a 9;43;37;80
201;TARAPACÁ;1;DEL TAMARUGAL;14;COLCHANE;1403;10 a 14;42;47;89
202;TARAPACÁ;1;DEL TAMARUGAL;14;COLCHANE;1403;15 a 19;71;41;112
203;TARAPACÁ;1;DEL TAMARUGAL;14;COLCHANE;1403;20 a 24;98;61;159
204;TARAPACÁ;1;DEL TAMARUGAL;14;COLCHANE;1403;25 a 29;122;71;193
205;TARAPACÁ;1;DEL TAMARUGAL;14;COLCHANE;1403;30 a 34;98;49;147
206;TARAPACÁ;1;DEL TAMARUGAL;14;COLCHANE;1403;35 a 39;83;60;143
207;TARAPACÁ;1;DEL TAMARUGAL;14;COLCHANE;1403;40 a 44;77;44;121
208;TARAPACÁ;1;DEL TAMARUGAL;14;COLCHANE;1403;45 a 49;58;48;106
209;TARAPACÁ;1;DEL TAMARUGAL;14;COLCHANE;1403;50 a 54;48;56;104
210;TARAPACÁ;1;DEL TAMARUGAL;14;COLCHANE;1403;55 a 59;43;45;88
211;TARAPACÁ;1;DEL TAMARUGAL;14;COLCHANE;1403;60 a 64;59;35;94
212;TARAPACÁ;1;DEL TAMARUGAL;14;COLCHANE;1403;65 a 69;39;38;77
213;TARAPACÁ;1;DEL TAMARUGAL;14;COLCHANE;1403;70 a 74;29;26;55
214;TARAPACÁ;1;DEL TAMARUGAL;14;COLCHANE;1403;75 a 79;27;15;42
215;TARAPACÁ;1;DEL TAMARUGAL;14;COLCHANE;1403;80 a 84;9;10;19
216;TARAPACÁ;1;DEL TAMARUGAL;14;COLCHANE;1403;85 a 89;5;4;9
217;TARAPACÁ;1;DEL TAMARUGAL;14;COLCHANE;1403;90 a 94;2;3;5
218;TARAPACÁ;1;DEL TAMARUGAL;14;COLCHANE;1403;95 a 99;1;1;2
219;TARAPACÁ;1;DEL TAMARUGAL;14;COLCHANE;1403;100 o más;0;0;0
220;TARAPACÁ;1;DEL TAMARUGAL;14;HUARA;1404;Total Comunal;1.501;1.229;2.730
221;TARAPACÁ;1;DEL TAMARUGAL;14;HUARA;1404;0 a 4;98;102;200
222;TARAPACÁ;1;DEL TAMARUGAL;14;HUARA;1404;5 a 9;130;95;225
223;TARAPACÁ;1;DEL TAMARUGAL;14;HUARA;1404;10 a 14;96;100;196
224;TARAPACÁ;1;DEL TAMARUGAL;14;HUARA;1404;15 a 19;76;71;147
225;TARAPACÁ;1;DEL TAMARUGAL;14;HUARA;1404;20 a 24;98;78;176
226;TARAPACÁ;1;DEL TAMARUGAL;14;HUARA;1404;25 a 29;113;101;214
